title,author,date,publication_type,rejection_reason
"SOCIAL GARBAGE, THROW – AWAY PEOPLE",Percy Foundation,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SOLDIER OF FORTUNE: GUIDE TO HOW TO BECOME A MERCENARY,Barry Davies,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
SOLDIER OF FORTUNE: GUIDE TO HOW TO DISAPPEAR AND NEVER BE FOUND AGAIN,Barry Davies,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SOLEDAD BROTHER, THE PRISON LETTERS OF GEORGE JACKSON","Jonathan Jackson, Jr.",,,"Title 15, Section 3006(c)(19) – STG members or associates"
SOLITARY FITNESS,Stephen Richards,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SOLO TRAINING,Loren W. Christensen,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
SOLO TRAINING 2,Loren W. Christensen,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SOMETHING IS KILLING THE CHILDREN, VOL. 1 (2020)",James Tynion IV,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"SONS OF ANARCHY, LEGACY EDITION, BOOK ONE",Kurt Sutter,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
SOPHY PUTTS,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SORAYAMA MASTERWORKS,Edition Skylight,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SOSAFROMSCARFACE, THE SAGA BEGINS (2016)",Lou Garden Price Sr.,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
SOUL OF A GANGSTA (2022),J. Diggs,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
SOUL ON BIKES (2013),Table Levingston,,,"Title 15, Section 3006(c)(19) – STG members or associates"
SOULLESS (2015),T.M. Frazier,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
SOULS AND SORROWS (2025),Sav R. Miller,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SOUTH BEACH SINGLES BLACK CUTIES VOL. 1,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SOUTH BEACH SINGLES BLACK CUTIES VOL. 1,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, ASIAN PERSUASION, VOLUME NUMBER 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, FEET FETISH, VOLUME NUMBER 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, NUTTIN BUTT AZZ, VOLUME NUMBER 10",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific"
"SOUTH BEACH SINGLES CATALOG, NUTTIN BUTT AZZ, VOLUME NUMBER 13",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, NUTTIN BUTT AZZ, VOLUME NUMBER 15",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, NUTTIN BUTT AZZ, VOLUME NUMBER 18",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, VOLUME 17",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, VOLUME NUMBER 10",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, VOLUME NUMBER 15",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, VOLUME NUMBER 6",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES CATALOG, VOLUME NUMBER 9",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES XXX CATALOG, VOLUME 8",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"SOUTH BEACH SINGLES XXX CATALOG, VOLUME 9",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES XXX, VOLUME 7",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES XXX, VOLUME NUMBER 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES XXX, VOLUME NUMBER 2",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SOUTH BEACH SINGLES XXX, VOLUME NUMBER 3",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES XXX, VOLUME NUMBER 5",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, BBW VOL. 1/ COUGAR MATURE, VOL 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SOUTH BEACH SINGLES, FRESHFACES, VOL 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, LATINA VOLUME 2",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific"
"SOUTH BEACH SINGLES, LATINA, VOLUME NUMBER 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, NUTTIN BUTT AZZ, VOLUME 12",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, NUTTIN BUTT AZZ, VOLUME 19 CATALOG",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, P.A.W.G. VOL 2",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, PAWG, VOLUME 5",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, PHAT AZZ WHITE GIRLS, VOLUME 1",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, SNOWBUNNIES VOL.11",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, SNOWBUNNIES VOL.11",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, TRANNY, VOL. 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, TRANNY, VOLUME 2",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, VOLUME 16",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH SINGLES, XXX VOLUME IV",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTH BEACH UNA CATALOG, ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SOUTHERN BASTARDS, VOLUME 3",Jason Aaron & Jason Latour,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
SOVEREIGN (2024),Raya Morris Edwards,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SPANL!, THE ART OF FERNANDO CARETTA",Fernando Caretta,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPAWN, VENGEANCE",Todd McFarlane,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
SPECIAL FORCES FITNESS TRAINING,Augusta Dejuan Hathaway,,,"Title 15, Section 3006(d) – presents a serious threat to facility incarcerated persons and staff"
SPECTACULAR SEX MOVES SHE’LL NEVER FORGET,Sonia Borg,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPECTRUM 10, THE BEST IN CONTEMPORARY FANTASTIC ART",Cathy Fenner and Arnie Fenner,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SPECTRUM 14,Better World Book,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPECTRUM 14, THE BEST IN CONTEMPORARY FANTASTIC ART",Cathy Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 16: THE BEST IN CONTEMPORARY FANTASTIC ART,Cathy Fenner and Arnie Fenner,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SPECTRUM 17,Cathy and Arnie Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 18,Cathy Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 19: THE BEST IN CONTEMPORARY FANTASTIC ART,Cathy Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPECTRUM 2, THE BEST IN CONTEMPORARY FANTASTIC ART",Cathy Fenner and Arnie Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 20: THE BEST IN CONTEMPORARY FANTASTIC ART 20TH ANNIVERSARY VOLUME,Cathy and Arnie Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 21,John Fleskes,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 22,John Fleskes,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPECTRUM 24, THE BEST IN CONTEMPORARY FANTASTIC ART",John Fleskes,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 3,Cathy Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 4,Cathy Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SPECTRUM 8,Cathy and Arnie Fenner,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPECTRUM 9, THE BEST IN CONTEMPORARY FANTASTIC ART (2002)",,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
SPELLBOUND; BLACK MAGIC WOMEN,Sal Quartuccio & Bob Keenan,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPETSNAZ, MANUAL OF THE MILITARY SCOUT",Threat Analysis Group,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SPETSNAZ, SCOUT PHYSICAL TRAINING MANUAL",Threat Analysis Group,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SPICE & WOLF, VOLUME 1",Isuna Hasikura,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SPIRITUAL SEX,Michelle Pauli,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SPLICERS, ROLE- PLAYING GAME (2006)",Carmen Bellaire,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
SPORTS BETTING FOR DUMMIES (2020),Swain Scheps,,,"Title 15, Section 3006(c)(13) – contains or concerns any gambling or a lottery"
SPORTS ILLUSTRATED SWIMSUIT HEAVEN,Walter Iooss/Sports Illustrated Books,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPORTS ILLUSTRATED, IN THE PAINT, NOVEMBER 2007",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SPORTS ILLUSTRATED, SWIMSUIT 50 YEARS OF BEAUTIFUL ISSUE",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
SPREAD 30 (2024),Nick Jacobson,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
SPY SECRETS THAT CAN SAVE YOUR LIFE,Jason Hanson,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SQUEEZE, ISSUE 1",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SS CREED VOLUME FOUR, JEWS",,,,"Title 15, Section 3006(c)(19) – STG members or associates"
"STABLE GIRLS, CATALOG G",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STABLE GIRLS, CATALOG J",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STACK BEFORE YOU SPLURGE,A Roy Milligan,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STARFINDER, ALIEN ARCHIVE 3 (2019)",Paizo Staff,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"STARFINDER, ALIEN ARCHIVE 4 (2021)",Paizo Staff,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"STARFINDER, MECHAGEDDON! ADVENTURE PATH (2024)",Paizo Staff,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"STARFINDER, STARFINDER ENHANCED (2023)",Paizo Staff,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
STAY WITH ME (2021),Nicole Florina,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STEALING CANDY,Allison Hobbs,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STEAMPUNK RISING,Sandra Chang-Adair,,,"Title 15, Section 3006(c)(17) – frontal nudity"
STEAMPUNK RISING (2015),Sandra Chang-Adair,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
"STEAMPUNK RISING, THE ART OF SANDRA CHANG-ADAIR",Sandra Chang-Adair,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STICKY BUNS, VOLUME 4, ISSUE 3",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
STILL BEATING (2023),Jennifer Hartmann,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STILL HOOD,K’Wan,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"STIM PACK MAGAZINE, MINI MAG ISSUE",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STIMULATE BOOK, VOLUME 27",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STORE EROTICA MAGAZINE, JUNE 2014",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STOREROTICA MAGAZINE, APRIL 2011",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STOREROTICA MAGAZINE, DECEMBER 2011",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
STORM BOOK 1,Nina Levine,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STORY OF O (2013),Pauline Reage,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STRAIGHT BEAST MODE (2022),De’Kari,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"STRAIGHT BEAST MODE 2, 4EVERGREEZY (2022)",De’Kari,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STRAIGHT STUNTIN MAGAZINE, ISSUE 61",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STRAIGHT STUNTIN MAGAZINE, ISSUE 74",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
STRAIGHT TO HELL #68,,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
STRAIGHT TO HELL 66,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STRAIGHT TO HELL 67,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STRATEGIES OF AMERICA’S ELITE WARRIORS,Skyhorse Publishing,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"STRAVAGANZA, THE QUEEN IN THE IRON MASK, VOLUME 2",Akihito Tomi,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRAVAGANZA, THE QUEEN IN THE IRON MASK, VOLUME 3",Akihito Tomi,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
STREET DREAMS,K’Wan,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
STREET LEGENDS VOL 1.,Seth Herranti,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
STREET LEGENDS VOL 1.,Seth Herranti,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
STREET LEGENDS VOL. 2 OG’S,Seth Herranti,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"STREET LOW ARTE BOOK, 1ST EDITION",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET LOW, ISSUE 12",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET NINJA, ANCIENT SECRETS FOR TODAY’S MEAN STREETS (1995)",Dirk Skinner,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
STREET PIX CATALOG E,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET PIX, CATALOG 4, D1-D200",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIX, CATALOG C",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIX, CATALOG C",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIX, CATALOG H, BLACK BEAUTIES",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIX, CATALOG I",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIX, SNOWBUNNIES",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STREET PIXS,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIXS CATALOG J, ASIAN ASSUALT",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIXS, BEACH",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIXS, CATALOG 1, A1-A100",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIXS, CATALOG 2, B101-B200",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET PIXS, CATALOG 3",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET PIXS, CATALOG 3, C1-C100",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET PIXS, CATALOG K, LATINO LOVES",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET PIXS, CATALOG NA",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STREET SHOP TATOO STENCILS, CREATING NEW DESIGNS FOR SKIN ART",Brian Johnson,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STREET SKETCH BOOK, JOURNEYS",Tristan Manco,,,"Title 15, Section 3006(c)(17) – frontal nudity"
STREET SOLDIERS DIE LEGENDARY (2025),Yola Money,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
STREETWISE SPYCRAFT,Barry Davies,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
STRIPLV 1218 ISSUE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ART AND EROTICISM, ISSUE 0121",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ART AND EROTICISM, ISSUE 0221",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ART AND EROTICISM, ISSUE 0321",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSAUE 0822- 0922",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE #208",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"STRIPLV, ISSUE #210",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"STRIPLV, ISSUE 0122",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0322",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0421- 0521",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0422",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0522",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0621",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0622",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0721",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0722",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0821",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 0921",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 1022- 1122",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 1121",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPLV, ISSUE 1221",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPPER LOVE MAGAZINE, ISSUE 3",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPPERS & PORN CHICKS, ISSUE 2",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"STRIPPERS, ISSUE 1",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"STROKERS, THE EROTIC NOTEBOOK, 2023 CALENDAR",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STROKES OF GENIUS 4, THE BEST OF DRAWING, EXPLORING LINE",Rachel Rubin Wolf,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STROKES OF GENIUS 5, THE BEST OF DRAWING",Rachel Rubin Wolf,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"STROKES OF GENIUS 6, THE BEST OF DRAWING",Rachel Rubin Wolf,,,"Title 15, Section 3006(c)(17) – frontal nudity"
STUDIO COLLECTIVE XX (2024),,,,"Title 15, Section 3006(c)(4) – plans to assist to escape"
"SUB 0 PHAT PUFFS MAGAZINE WINTER 2020, ISSUE #17",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"SUB O PHAT MAGAZINE, PHAT PUFFS, ISSUE #19",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O PHAT PUFF MAGAZINE, FALL 2016 ISSUE NUMBER 9",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O’ PHAT PUFFS MAGAZINE, ISSUE 12",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific"
"SUB O’ PHAT PUFFS MAGAZINE, ISSUE 18",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O PHAT PUFFS MAGAZINE, WINTER 2021, ISSUE 19",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SUB O PHAT PUFFS WINTER 2019,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SUB O PHAT PUFFS WINTER 2019,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O PHAT PUFFS, #21",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O PHAT PUFFS, ISSUE #10",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O’ PHAT PUFFS, SPRING 2016, ISSUE 8",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O PHAT PUFFS, SUMMER 2020, ISSUE 18",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O’ PHAT PUFFS, VOLUME 20",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O’ PHAT, ISSUE 14",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUB O PHAT, SUMMER 2019, 16",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SUBVERSIVE BEAUTY,Luis Royo,,,"Title 15, Section 3006(c)(17) – frontal nudity"
SUCCESSFUL GLAMOUR PHOTOGRAPHY,Duncan Evans & John Kelly,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SUCCESSFUL GLAMOUR PHOTOGRAPHY, REVISED",Duncan Evans & John Kelly,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SUCCUBUS AND HITMAN, VOLUME 4 (2023)",Makoto Fukami,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUCCUBUS AND HITMAN, VOLUME 5 (2023)",Makoto Fukami,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"SUCCUBUS HITMAN, VOL. 9 (2025)",Makoto Fukami & Seigo Takiya,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
"SUCCULENT, CHOCOLATE FLAVA II",Zane,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUCCULENT, CHOCOLATE FLAVA II (2008)",Zone,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUGAR FOOT, CIVILIZED WARRING",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
SUGAR IN MY BOWL,Erica Jong,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"SUGARBABE, THE CONTROVERSIAL REAL STORY OF A WOMAN IN SEARCH OF A SUGAR DADDY (2010)",Holly Hill,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"SUICIDE SQUAD, BEHIND THE SCENES WITH THE WORST HEROES",Signe Bergstrom,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SUICIDEGIRLS, NO. 3 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
SUMMARY-THE ART OF SEDUCTION,Robert Green,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"SUMMER OF 1945, GERMANY, JAPAN AND THE HARVEST OF HATE (2018)",Thomas Goodrich,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
