title,author,date,publication_type,rejection_reason
"4 THE PACK ENTERTAINMENT PRESENTS, TABANGA+ CO 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
4 THE PACK ENTERTAINMENT PS MIX 4,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
4 THE PACK ENTERTAINMENT PS MIX 9,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
4 THE PACK ENTERTAINMENT PS RANDOM 11,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
4 THE PACK ENTERTAINMENT PS SCENES 8,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"4 THE PACK ENTERTAINMENT, NEKKID-2",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"4 THE PACK ENTERTAINMENT, NUDE 8, PS RANDOM 10, NUDE 12, NUDE 15, AND NUDE 17",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK ENTERTAINMENT, PS BLACK 1, PS MIX 10 AND BRAZILIAN 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"4 THE PACK ENTERTAINMENT, PS DIAMOND",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK ENTERTAINMENT, PS KIERA 3",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK ENTERTAINMENT, PS WEE BACK 2, AND PS INTERACIAL 2",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK ENTERTAINMENT, PS WZLS GFS2",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, BIKINI X1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, INSTA G-1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, PS LUSCIUOS",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, PS OLDER 2",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, PS RANDOM 1",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, PS ROXY",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, PS RYAN SMILES",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK PRESENTS, TABANGA CO2",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK, EBONY NUDE 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"40 PLUS, ISSUE 1",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
40 SEX LESSONS FROM ME TO YOU (2025),Jasmine C Perry,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
40 SOMETHING MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
40+ ISSUE #33,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"40+ MAGAZINE, #43",,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
40+ VOLUME #39,,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
"48 LAWS OF HUSTLING, DON’T BE A STATISTIC (2017)",Ricky St. Julien,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
4TH OF JULY (2006),James Patterson,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"4W17 WOMEN, NUMBER 4, CATALOG 2017",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
50 DIRTY NAUGHTY EROTIC SHORT STORIES,Ava Desmond,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
50 NIGHTS IN GRAY,Weldon Owen,,,"Title 15, Section 3006(c)(17) – frontal nudity"
50+ VOLUME #68,,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
50+ VOLUME 50,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
500 FAIRY MOTIFS,Myrea Petit,,,"Title 15, Section 3006(c)(17) – frontal nudity"
500 UNCENSORED SEX ACTS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
75 CONVENTION SKETCHES:VOLUME 10,William Stout,,,"Title 15, Section 3006(c)(17) – frontal nudity"
A BEAST WITHIN (2025),Robert Moore,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A BETTER SOLUTION, A.B.O. COMIX VOLUME 7, A QUEER PRISONER’S ANTHOLOGY",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A BOOK OF FIVE RINGS,Miyamoto Musashi,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
A BREATH OF SNOW AND ASHES (2014),Diana Gabaldon,,,"Title 15, Section 3006(c)(15)(B)(3) – conduct which is or appears to be forceful, threatening or violent"
A BRIDE FOR THE WHOLE FAMILY,James Elliot,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A BRIEF HISTORY OF SEVEN KILLINGS,Marlon James,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
A CHILD OF A CRACKHEAD,Shameek A. Speight,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
A CLASH OF KINGS,George R. R. Martin,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A CLEAN HELL, ANARCHY AND ABOLITION IN NOTORIOUS DUNGEON (2026)",Eric King,,,"Title 15, Section 3006(d) – presents a serious threat to facility incarcerated"
"A COLUMN OF FIRE, A NOVEL (2018)",Ken Follett,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A COURT OF FROST AND STARLIGHT, A COURT OF THORNS AND ROSES, 4 (2020)",Sarah J. Maas,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A COURT OF MIST AND FURY (2020),Sarah J. Maas,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A COURT OF SILVER FLAMES (2021),Sarah J. Maas,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A COURT OF THORNS AND ROSES (2020),Sarah J. Maas,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A COURT OF WINGS AND RUIN (2020),Sarah J. Maas,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A DANCE WITH DRAGONS (2011),George R.R. Martin,,,"Title 15, Section 3006(c)(15)(B)(3) – conduct which is or appears to be forceful, threatening or violent"
"A DANCE WITH DRAGONS, AFTER THE FEAST (2012)",George R.R. Martin,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A DANCE WITH DRAGONS, DREAMS AND DUST (2012)",George R.R. Martin,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
A DARKNESS MORE THAN NIGHT (2014),Michael Connelly,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
A DICTIONARY OF MARTIAL ARTS,Louis Fredic,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"A FATHER’S DOWNFALL, EROTIC STORIES, ISSUE 7, NOVEMBER 2025",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A FEAST FOR CROWS (2011),George R.R. Martin,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A GAME OF FATE, HADES X PERSEPHONE, SAGA 2 (2021)",Scarlett St. Clair,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A GAME OF THRONES, THE GRAPHIC NOVEL, VOLUME FOUR",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"A GAME OF THRONES, THE GRAPHIC NOVEL, VOLUME THREE",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"A GAME OF THRONES, THE GRAPHIC NOVEL, VOLUME TWO",George R. R. Martin,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"A GAME OF THRONES: THE GRAPHIC NOVEL,VOLUME ONE",George R. R. Martin,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"A GAME OF THRONES: THE GRAPHIC NOVEL,VOLUME TWO",George R. R. Martin,,,"Title 15, Section 3006(c)(17) – frontal nudity"
A GANGSTA’S SON (2024),King Rio,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
