row,pdf_page,source_text
68,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS JYNX 1                     serious literary, artistic,
                                        political or scientiﬁc
                                        value"
69,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS KELLY 1                    nudity"
70,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS KELLY,                     serious literary, artistic,
TS 11, PATTYCAKE 1,                     political or scientiﬁc
TABANGA CO4,                            value
BRAZILIAN 2"
71,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS LUPE                       serious literary, artistic,
                                        political or scientiﬁc
                                        value"
72,4,"4 THE PACK              4 The Pack      Title 15, Section"
73,4,"ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS MIA 1                      serious literary, artistic,
                                        political or scientiﬁc
                                        value"
74,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS MIX 1                      nudity"
75,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS MIX 10                     serious literary, artistic,
                                        political or scientiﬁc
                                        value"
76,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS MIX 11                     serious literary, artistic,
                                        political or scientiﬁc
                                        value"
77,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS MIX 2                      serious literary, artistic,
                                        political or scientiﬁc
                                        value"
78,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS MIX 3                      nudity"
79,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS                            serious literary, artistic,
RANDOM 3                                political or scientiﬁc
                                        value"
80,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS SCENES                     serious literary, artistic,
10                                      political or scientiﬁc
                                        value"
81,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS SCENES                     nudity
9"
82,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS TITTIES                    serious literary, artistic,
1                                       political or scientiﬁc
                                        value"
83,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS WZLS                       serious literary, artistic,
GFS 1                                   political or scientiﬁc
                                        value"
84,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS WZLS                       serious literary, artistic,
GFS 1                                   political or scientiﬁc
                                        value"
85,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS WZLS                       serious literary, artistic,
GFS 3                                   political or scientiﬁc
                                        value"
86,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS WZLS                       serious literary, artistic,
GFS 4                                   political or scientiﬁc
                                        value"
87,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, REAL                          serious literary, artistic,
KKVSH                                   political or scientiﬁc
                                        value"
88,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, SHEMALE-                      nudity
2)"
89,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, TABANGA+                      nudity
CO 1"
90,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT PS        Entertainment   3006(c)(15)(A) – lacks
MIX 4                                   serious literary, artistic,
                                        political or scientiﬁc"
91,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT PS        Entertainment   3006(c)(15)(A) – lacks
MIX 9                                   serious literary, artistic,
                                        political or scientiﬁc
                                        value"
92,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT PS        Entertainment   3006(c)(17) – frontal
RANDOM 11                               nudity"
93,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT PS        Entertainment   3006(c)(17) – frontal
SCENES 8                                nudity"
94,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT,          Entertainment   3006(c)(17) – frontal
NEKKID-2                                nudity"
95,5,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT,          Entertainment   3006(c)(15)(A) – lacks
NUDE 8, PS RANDOM                       serious literary, artistic,
10, NUDE 12, NUDE 15,                   political or scientiﬁc
AND NUDE 17                             value"
96,6,"4 THE PACK                              4 The Pack            Title 15, Section
ENTERTAINMENT, PS                       Entertainment         3006(c)(17) – frontal
BLACK 1, PS MIX 10                                            nudity
AND BRAZILIAN 1"
97,6,"4 THE PACK                              4 The Pack            Title 15, Section
ENTERTAINMENT, PS                       Entertainment         3006(c)(15)(A) – lacks
DIAMOND                                                       serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
98,6,"4 THE PACK                              4 The Pack            Title 15, Section
ENTERTAINMENT, PS                       Entertainment         3006(c)(15)(A) – lacks
KIERA 3                                                       serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
99,6,"4 THE PACK                              4 The Pack            Title 15, Section
ENTERTAINMENT, PS                       Entertainment         3006(c)(15)(A) – lacks
WEE BACK 2, AND PS                                            serious literary, artistic,
INTERACIAL 2                                                  political or scientiﬁc
                                                              value"
100,6,"4 THE PACK                              4 The Pack            Title 15, Section
ENTERTAINMENT, PS                       Entertainment         3006(c)(15)(A) – lacks
WZLS GFS2                                                     serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
101,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, BIKINI X1                     Entertainment         3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
102,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, INSTA G-1                     Entertainment         3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
